Name,Salary,Position,Age,Block,Steal,Assist,Two Points,Three Points
DeAndre Jordan,22642350,C,28,1.6666666666666667,0.6419753086419753,1.1851851851851851,5.08641975308642,0.0
DeAndre Liggins,1577230,SG,28,0.22580645161290322,0.7580645161290323,0.8709677419354839,0.6129032258064516,0.27419354838709675
Dejounte Murray,1312611,PG,20,0.15789473684210525,0.21052631578947367,1.263157894736842,1.0789473684210527,0.23684210526315788
Delon Wright,1645200,PG,24,0.4074074074074074,1.0,2.111111111111111,1.4444444444444444,0.37037037037037035
DeMar DeRozan,27739975,SG,27,0.17567567567567569,1.054054054054054,3.918918918918919,9.297297297297296,0.44594594594594594
DeMarcus Cousins,18063850,C,26,1.2777777777777777,1.3888888888888888,4.611111111111111,7.166666666666667,1.8194444444444444
DeMarre Carroll,14800000,SF,30,0.375,1.125,1.0277777777777777,1.5416666666666667,1.5138888888888888
Demetrius Jackson,92858,PG,22,0.0,0.0,0.6,0.4,0.2
Dennis Schroder,15500000,PG,23,0.20253164556962025,0.9367088607594937,6.3164556962025316,5.670886075949367,1.2658227848101267
Denzel Valentine,2186400,SG,23,0.12280701754385964,0.5263157894736842,1.105263157894737,0.5087719298245614,1.280701754385965
Deron Williams,5500000,PG,32,0.125,0.484375,5.625,2.78125,1.328125
Derrick Favors,12000000,PF,25,0.8,0.9,1.12,4.0,0.06
Derrick Jones,1312611,SF,19,0.40625,0.4375,0.375,2.03125,0.09375
Derrick Rose,2116955,PG,28,0.265625,0.6875,4.421875,6.984375,0.203125
Devin Booker,2319360,SG,20,0.2692307692307692,0.9230769230769231,3.4358974358974357,5.884615384615385,1.8846153846153846
Devin Harris,4402546,PG,33,0.1076923076923077,0.6615384615384615,2.0923076923076924,1.2,0.8923076923076924
Dewayne Dedmon,6000000,C,27,0.8026315789473685,0.4868421052631579,0.5789473684210527,2.1184210526315788,0.0
Deyonta Davis,1312611,C,20,0.4722222222222222,0.08333333333333333,0.05555555555555555,0.6666666666666666,0.0
Diamond Stone,1312611,C,19,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0
Dion Waiters,11000000,SG,25,0.43478260869565216,0.8913043478260869,4.3478260869565215,4.260869565217392,1.8478260869565217
Dirk Nowitzki,5000000,PF,38,0.7037037037037037,0.5555555555555556,1.5185185185185186,4.018518518518518,1.462962962962963
Domantas Sabonis,2550000,PF,20,0.3950617283950617,0.48148148148148145,1.0123456790123457,1.7407407407407407,0.6296296296296297
Dorian Finney-Smith,1312611,PF,23,0.30864197530864196,0.6419753086419753,0.8271604938271605,0.8395061728395061,0.691358024691358
